ID	TW	CN	JP	CP950	CP936	GB2312	GBK
229	54A9	54A9		54A9	54A9	54A9	54A9
230	54C0	54C0	54C0	54C0	54C0	54C0	54C0
231	54B3	54B3		54B3	54B3	54B3	54B3
232	54AB	54AB		54AB	54AB	54AB	54AB
233	54B1	54B1		54B1	54B1	54B1	54B1
234	54AF	54AF		54AF	54AF	54AF	54AF
235	5510	5510	5510	5510	5510	5510	5510
236	5586	5586			5586
237	796D	796D	796D	796D	796D	796D	796D
238	54E1	5458	54E1	54E1	5458	5458	5458
239	54ED	54ED		54ED	54ED	54ED	54ED
240	54E6	54E6		54E6	54E6	54E6	54E6
241	5537	5537		5537	5537	5537	5537
242	554F	95EE	554F	554F	95EE	95EE	95EE
243	555E	54D1		555E	54D1	54D1	54D1
244	555C	555C		555C	555C	555C	555C
245	5538	5538		5538	5538		5538
246	5580	5580		5580	5580	5580	5580
247	5527	5527		5527	5527	5527	5527
248	559C	559C	559C	559C	559C	559C	559C
249	55AA	4E27	55AA	55AA	4E27	4E27	4E27
250	55B3	55B3		55B3	55B3	55B3	55B3
251	5598	5598		5598	5598	5598	5598
252	559A	5524	559A	559A	5524	5524	5524
253	557E	557E		557E	557E	557E	557E
254	55AC	4E54		55AC	4E54	4E54	4E54
255	5589	5589	5589	5589	5589	5589	5589
256	55B2	54DF		55B2	54DF	54DF	54DF
257	55D1	55D1		55D1	55D1	55D1	55D1
258	55DC	55DC		55DC	55DC	55DC	55DC
259	55C7	556C		55C7	556C	556C	556C
260	55CE	5417		55CE	5417	5417	5417
261	55E3	55E3	55E3	55E3	55E3	55E3	55E3
262	55E4	55E4		55E4	55E4	55E4	55E4
263	55C5	55C5	55C5	55C5	55C5	55C5	55C5
264	55DA	545C		55DA	545C	545C	545C
265	55C6	545B		55C6	545B	545B	545B
266	5600	5600		5600	5600	5600	5600
267	55FE	55FE		55FE	55FE	55FE	55FE
268	5616	5567		5616	5567	5567	5567
269	55F7	55F7		55F7	55F7	55F7	55F7
270	5608	5608		5608	5608	5608	5608
271	55FD	55FD		55FD	55FD	55FD	55FD
272	5614	5455		5614	5455	5455	5455
273	560E	560E		560E	560E	560E	560E
274	5617	5C1D		5617	5C1D	5C1D	5C1D
275	560D	55BD		560D	55BD	55BD	55BD
276	562E	5520		562E	5520	5520	5520
277	562F	5578		562F	5578	5578	5578
278	5636	5636		5636	5636	5636	5636
279	5632	5632	5632	5632	5632	5632	5632
280	563B	563B		563B	563B	563B	563B
281	5653	5618		5653	5618	5618	5618
282
283	55E5	55E5		55E5	55E5	55E5	55E5
284	5630	53FD		5630	53FD	53FD	53FD
285	5678	5428		5678	5428	5428	5428
286	5674	55B7	5674	5674	55B7	55B7	55B7
287	5665	54DD		5665	54DD	54DD	54DD
288	5668	5668	5668	5668	5668	5668	5668
289	5671	5671		5671	5671	5671	5671
290	566F	55F3		566F	55F3	55F3	55F3
291	5680	549B		5680	549B	549B	549B
292	5685	5685		5685	5685	5685	5685
293	5687	5413	5687	5687	5413	5413	5413
294	5695	565C		5695	565C	565C	565C
295	56A8	5499		56A8	5499	5499	5499
296	56B4	4E25	53B3	56B4	4E25	4E25	4E25
297	56C0	556D		56C0	556D	556D	556D
298	56C1	55EB		56C1	55EB	55EB	55EB
299	56C2	56A3		56C2	56A3	56A3	56A3
300	56BC	56BC		56BC	56BC	56BC	56BC
301	56CA	56CA		56CA	56CA	56CA	56CA
302	56C8	5453		56C8	5453	5453	5453
303	56D1	5631	5631	56D1	5631	5631	5631
304	56E0	56E0	56E0	56E0	56E0	56E0	56E0
305	56FA	56FA	56FA	56FA	56FA	56FA	56FA
306	5703	5703		5703	5703	5703	5703
307	5708	5708	570F	5708	5708	5708	5708
308	571F	571F	571F	571F	571F	571F	571F
309	5730	5730	5730	5730	5730	5730	5730
310	5728	5728	5728	5728	5728	5728	5728
311	574D	574D		574D	574D	574D	574D
312	5769	5769		5769	5769	5769	5769
313	5782	5782	5782	5782	5782	5782	5782
314	577C	577C		577C	577C	577C	577C
315	578B	578B	578B	578B	578B	578B	578B
316	57A3	57A3	57A3	57A3	57A3	57A3	57A3
317	57A2	57A2		57A2	57A2	57A2	57A2
318	57C2	57C2		57C2	57C2	57C2	57C2
319	57F7	6267	57F7	57F7	6267	6267	6267
320	57FA	57FA	57FA	57FA	57FA	57FA	57FA
321	57DF	57DF	57DF	57DF	57DF	57DF	57DF
322	5805	575A	5805	5805	575A	575A	575A
323	5806	5806	5806	5806	5806	5806	5806
324	57E0	57E0		57E0	57E0	57E0	57E0
325	5831	62A5	5831	5831	62A5	62A5	62A5
326	582F	5C27		582F	5C27	5C27	5C27
327	5830	5830		5830	5830	5830	5830
328	5824	5824	5824	5824	5824	5824	5824
329	5834	573A	5834	5834	573A	573A	573A
330	5821	5821		5821	5821	5821	5821
331	5857	6D82	5857	5857	6D82	6D82	6D82
332	5858	5858		5858	5858	5858	5858
