ID	TW	CN	JP	KO	CP950	CP936	GB2312	GBK
186	524C	524C			524C	524C	524C	524C
187	769A	7691			769A	7691	7691	7691
188	7C1B	7C1B				7C1B
189	82B8	82B8	82B8		82B8	82B8	82B8	82B8
190	8763	8763			8763	8763	8763	8763
191	86AF	86AF			86AF	86AF	86AF	86AF
192	8763	8763			8763	8763	8763	8763
193	8788	8788			8788	8788	8788	8788
194	65AF	65AF			65AF	65AF	65AF	65AF
195	8A1B	8BB9			8A1B	8BB9	8BB9	8BB9
196	7D15	7EB0			7D15	7EB0	7EB0	7EB0
197	5555	5555			5555	5555	5555	5555
198	8B14	8C11			8B14	8C11	8C11	8C11
199	55F7	55F7			55F7	55F7	55F7	55F7
200	8B7F	8B7F			8B7F	8B7F		6193
201	6167	6167			6167	6167	6167	6167
202	9AB9	9AB9			9AB9	9AB9
203	8E22	8E22			8E22	8E22	8E22	8E22
204	8F20	8F20			8F20	8F20
205	90B6	90B6			90B6	90B6	90B6	90B6
206	9161	9161			9161	9161	9161	9161
207	914F	914F			914F	914F	914F	914F
208	9161	9161			9161	9161	9161	9161
209	69CD	67AA			69CD	67AA	67AA	67AA
210	71E7	71E7			71E7	71E7	71E7	71E7
211	943E	943E				943E	943E	943E
212	9104	9104			9104	9104	9104	9104
213	6F89	6F89			6F89	6F89	6F89	6F89
214	9BB8	9CD8			9BB8	9CD8	9CD8	9CD8
215	81CA	81CA			81CA	81CA	81CA	81CA
216	730A	730A			730A	730A	730A	730A
217	9B5A	9C7C	9B5A		9B5A	9C7C	9C7C	9C7C
218	976A	976A			976A	976A		976A
219	97AE	97AE			97AE	97AE		97AE
220	89D2	89D2	89D2		89D2	89D2	89D2	89D2
221	74CA	743C	74CA		74CA	743C	743C	743C
222	965C	9655			965C	9655	9655	9655
223	4F63	4F63			4F63	4F63	4F63	4F63
224	6C88	6C88	6C88		6C88	6C88	6C88	6C88
225	79CB	79CB	79CB		79CB	79CB	79CB	79CB
226	8DBC	8327	7E6D		8DBC	8327	8327	8327
227	5CB3	5CB3	5CB3		5CB3	5CB3	5CB3	5CB3
228	7948	7948	7948		7948	7948	7948	7948
229	8E8B	8DFB			8E8B	8DFB	8DFB	8DFB
230	5403	5403	5403		5403	5403	5403	5403
231	8FF7	8FF7	8FF7		8FF7	8FF7	8FF7	8FF7
232	66B1	66B1			66B1	66B1	66B1	66B1
233	5DE2	5DE2	5DE3		5DE2	5DE2	5DE2	5DE2
234	8001	8001	8001		8001	8001	8001	8001
235	6642	6642	6642		6642	6642	6642	6642
236	9BAE	9BAE	9BAE		9BAE	9BAE	9BAE	9BAE
237	51AC	51AC	51AC		51AC	51AC	51AC	51AC
240	4E00	4E00	4E00		4E00	4E00	4E00	4E00
241	679C	679C	679C		679C	679C	679C	679C
242	754C	754C	754C		754C	754C	754C	754C
243	6838	6838	6838		6838	6838	6838	6838
244	7F50	7F50	7F36		7F50	7F50	7F50	7F50
245	6A5F	673A	673A		6A5F	673A	673A	673A
246	4E5D	4E5D	4E5D		4E5D	4E5D	4E5D	4E5D
247	6C99	6C99	6C99
248	7D72	4E1D	7CF8		7D72	4E1D	4E1D	4E1D
250	7B11	7B11	54B2		7B11	7B11	7B11	7B11
251	7A97	7A97	7A93		7A97	7A97	7A97	7A97
252	8457	7740	7740	7740	8457	7740	7740	7740
253	4E95	4E95	4E95
254	6CDB	6CDB	6C4E		6CDB	6CDB	6CDB	6CDB
255	4E26	4E26	4E26		4E26	5E76	5E76	5E76
256	5C4F	5C4F	5840		5C4F	5C4F	5C4F	5C4F
257	9CC5	9C0D			9C0D	9CC5	9CC5	9CC5
258	8FAF	8FA9	5F01		8FAF	8FA9	8FA9	8FA9
259	8C4A	8C4A	8C4A	8C4A
260	4E88	4E88	4E88		4E88	4E88	4E88	4E88
261	8105	80C1	8105		8105	80C1	80C1	80C1
262	4E8C	4E8C	4E8C		4E8C	4E8C	4E8C	4E8C
263	4E09	4E09	4E09		4E09	4E09	4E09	4E09
264	56DB	56DB	56DB		56DB	56DB	56DB	56DB
265	4E94	4E94	4E94		4E94	4E94	4E94	4E94
266	516D	516D	516D		516D	516D	516D	516D
267	4E03	4E03	4E03		4E03	4E03	4E03	4E03
268	516B	516B	516B		516B	516B	516B	516B
269	5341	5341	5341		5341	5341	5341	5341
270	767E	767E	767E		767E	767E	767E	767E
271	96F6	96F6	96F6		96F6	96F6	96F6	96F6
272	7D5B	7EE6	7D5B		7D5B	7EE6	7EE6	7EE6
273	9203	9498	9203		9203	9498
274	776B	776B	776B		776B	776B	776B	776B
275	9F90	5E9E	9F90		9F90	5E9E	5E9E	5E9E
276	5C24	5C24	5C24		5C24	5C24	5C24	5C24
277	7CDD	7CC1			7CDD	7CC1	7CC1	7CC1
278	4359	4359
279	8204	8204	8204		8204	8204	8204	8204
280	82B1	82B1	82B1		82B1	82B1	82B1	82B1
281	6EC2	6EC2	6EC2		6EC2	6EC2	6EC2	6EC2
282	9AF8	9AF8	9AF8			9AF8		9AF8
283	4EC7	4EC7	8B90		4EC7	4EC7	4EC7	4EC7
284	96C7	96C7	96C7		96C7	96C7	96C7	96C7
285	9ECF	7C98
